code,year,age,asfr,source
ALB,1972,35,0.1714,hfc
ALB,1972,36,0.15604,hfc
ALB,1972,37,0.14026,hfc
ALB,1972,38,0.12425,hfc
ALB,1972,39,0.10826,hfc
ALB,1972,40,0.09257,hfc
ALB,1972,41,0.07749,hfc
ALB,1972,42,0.0633,hfc
ALB,1972,43,0.05028,hfc
ALB,1972,44,0.03864,hfc
ALB,1972,45,0.02858,hfc
ALB,1972,46,0.0202,hfc
ALB,1972,47,0.01355,hfc
ALB,1972,48,0.00854,hfc
ALB,1972,49,0.00637,hfc
ALB,1972,50,0.00382,hfc
ALB,1973,14,2e-5,hfc
ALB,1973,15,2.1e-4,hfc
ALB,1973,16,0.00134,hfc
ALB,1973,17,0.00925,hfc
ALB,1973,18,0.03943,hfc
ALB,1973,19,0.09706,hfc
ALB,1973,20,0.16457,hfc
ALB,1973,21,0.22149,hfc
ALB,1973,22,0.25881,hfc
ALB,1973,23,0.27726,hfc
ALB,1973,24,0.28166,hfc
ALB,1973,25,0.27715,hfc
ALB,1973,26,0.26776,hfc
ALB,1973,27,0.25615,hfc
ALB,1973,28,0.24384,hfc
ALB,1973,29,0.23151,hfc
ALB,1973,30,0.21939,hfc
ALB,1973,31,0.20741,hfc
ALB,1973,32,0.19537,hfc
ALB,1973,33,0.18304,hfc
ALB,1973,34,0.17024,hfc
ALB,1973,35,0.15682,hfc
ALB,1973,36,0.14277,hfc
ALB,1973,37,0.12818,hfc
ALB,1973,38,0.11324,hfc
ALB,1973,39,0.09824,hfc
ALB,1973,40,0.08352,hfc
ALB,1973,41,0.06943,hfc
ALB,1973,42,0.05629,hfc
ALB,1973,43,0.04436,hfc
ALB,1973,44,0.03385,hfc
ALB,1973,45,0.02487,hfc
ALB,1973,46,0.0175,hfc
ALB,1973,47,0.0117,hfc
ALB,1973,48,0.00738,hfc
ALB,1973,49,0.00559,hfc
ALB,1973,50,0.00341,hfc
ALB,1974,14,5e-5,hfc
ALB,1974,15,4e-4,hfc
ALB,1974,16,0.00217,hfc
ALB,1974,17,0.01108,hfc
ALB,1974,18,0.04025,hfc
ALB,1974,19,0.09431,hfc
ALB,1974,20,0.159,hfc
ALB,1974,21,0.2161,hfc
ALB,1974,22,0.25581,hfc
ALB,1974,23,0.277,hfc
ALB,1974,24,0.28321,hfc
ALB,1974,25,0.27926,hfc
ALB,1974,26,0.26943,hfc
ALB,1974,27,0.25686,hfc
ALB,1974,28,0.2435,hfc
ALB,1974,29,0.23037,hfc
ALB,1974,30,0.21784,hfc
ALB,1974,31,0.20586,hfc
ALB,1974,32,0.19415,hfc
ALB,1974,33,0.18232,hfc
ALB,1974,34,0.17,hfc
ALB,1974,35,0.15689,hfc
ALB,1974,36,0.14285,hfc
ALB,1974,37,0.12793,hfc
ALB,1974,38,0.11237,hfc
ALB,1974,39,0.09659,hfc
ALB,1974,40,0.08108,hfc
ALB,1974,41,0.06637,hfc
ALB,1974,42,0.05288,hfc
ALB,1974,43,0.04092,hfc
ALB,1974,44,0.03067,hfc
ALB,1974,45,0.02219,hfc
ALB,1974,46,0.01542,hfc
ALB,1974,47,0.01024,hfc
ALB,1974,48,0.00645,hfc
ALB,1974,49,0.00509,hfc
ALB,1974,50,0.00322,hfc
ALB,1975,14,6e-5,hfc
ALB,1975,15,5.2e-4,hfc
ALB,1975,16,0.00272,hfc
ALB,1975,17,0.012,hfc
ALB,1975,18,0.03912,hfc
ALB,1975,19,0.08809,hfc
ALB,1975,20,0.14778,hfc
ALB,1975,21,0.20252,hfc
ALB,1975,22,0.24234,hfc
ALB,1975,23,0.26471,hfc
ALB,1975,24,0.27204,hfc
ALB,1975,25,0.26868,hfc
ALB,1975,26,0.25894,hfc
ALB,1975,27,0.24618,hfc
ALB,1975,28,0.23261,hfc
ALB,1975,29,0.21944,hfc
ALB,1975,30,0.20714,hfc
ALB,1975,31,0.19569,hfc
ALB,1975,32,0.18474,hfc
ALB,1975,33,0.17381,hfc
ALB,1975,34,0.1624,hfc
ALB,1975,35,0.1501,hfc
ALB,1975,36,0.13667,hfc
ALB,1975,37,0.12215,hfc
ALB,1975,38,0.10679,hfc
ALB,1975,39,0.0911,hfc
ALB,1975,40,0.07567,hfc
ALB,1975,41,0.06112,hfc
ALB,1975,42,0.04794,hfc
ALB,1975,43,0.03649,hfc
ALB,1975,44,0.0269,hfc
ALB,1975,45,0.01916,hfc
ALB,1975,46,0.01315,hfc
